model,depth,width,n_seeds,bp_conv_mean,bp_conv_std,dfa_conv_mean,dfa_conv_std,bp_final_err_mean,dfa_final_err_mean
2x200,2,200,3,23,0.0,18,1.0,1.9166666666666665,2.4966666666666657
4x200,4,200,3,17.333333333333332,4.932882862316247,22,4.58257569495584,2.0399999999999974,2.9500000000000006
6x200,6,200,3,17.333333333333332,1.5275252316519468,19.333333333333332,3.0550504633038935,2.290000000000003,2.9200000000000004
8x200,8,200,3,17.333333333333332,3.2145502536643185,20,1.7320508075688772,2.580000000000001,2.4933333333333327
10x200,10,200,3,20.333333333333332,5.507570547286102,19,2.0,2.8266666666666698,2.5199999999999965
12x200,12,200,3,20.333333333333332,3.7859388972001824,18.666666666666668,3.0550504633038935,3.1200000000000006,2.7566666666666664
14x200,14,200,3,30,7.0,22,4.58257569495584,2.429999999999999,2.686666666666667
16x200,16,200,3,16.333333333333332,2.0816659994661326,25,1.7320508075688772,2.5466666666666673,2.89
2x400,2,400,3,21.666666666666668,1.5275252316519468,19,2.6457513110645907,1.8066666666666675,2.203333333333335
4x400,4,400,3,14.666666666666666,1.5275252316519468,21.333333333333332,2.516611478423583,2.0033333333333347,2.080000000000004
6x400,6,400,3,17.333333333333332,3.7859388972001824,22.666666666666668,6.027713773341708,2.9600000000000035,2.59
8x400,8,400,3,19.333333333333332,3.511884584284246,20,3.605551275463989,2.536666666666665,2.380000000000001
10x400,10,400,3,14.333333333333334,1.5275252316519468,21,6.082762530298219,2.366666666666669,2.9200000000000004
12x400,12,400,3,24.666666666666668,7.023769168568492,21.333333333333332,4.041451884327381,2.4933333333333327,2.470000000000002
14x400,14,400,3,21.666666666666668,8.504900548115382,19.333333333333332,1.5275252316519468,2.89,3.0700000000000025
16x400,16,400,3,24,9.848857801796104,21.666666666666668,3.7859388972001824,3.209999999999998,2.5033333333333316
2x600,2,600,3,20.666666666666668,0.5773502691896257,25.333333333333332,3.7859388972001824,1.626666666666669,2.3266666666666658
4x600,4,600,3,20,5.291502622129181,23.333333333333332,0.5773502691896257,1.8000000000000016,2.589999999999996
6x600,6,600,3,21,4.358898943540674,19,3.605551275463989,2.090000000000003,2.323333333333333
8x600,8,600,3,23,5.196152422706632,21,1.0,2.3833333333333337,2.266666666666665
10x600,10,600,3,16.666666666666668,2.309401076758503,22.333333333333332,1.5275252316519468,2.8900000000000037,2.446666666666667
12x600,12,600,3,18,6.244997998398398,19.333333333333332,3.511884584284246,3.0800000000000014,2.356666666666666
14x600,14,600,3,24.666666666666668,15.17673658377628,25,2.6457513110645907,33.236666666666665,2.3333333333333353
16x600,16,600,3,15.333333333333334,7.505553499465135,20,3.4641016151377544,89.07,2.663333333333332
2x800,2,800,3,19.333333333333332,2.0816659994661326,19.666666666666668,3.2145502536643185,1.68,1.8733333333333342
4x800,4,800,3,16,0.0,17,1.7320508075688772,2.116666666666663,2.7633333333333323
6x800,6,800,3,17.666666666666668,2.8867513459481287,20,2.6457513110645907,2.1766666666666636,2.426666666666666
8x800,8,800,3,20,5.196152422706632,17.333333333333332,0.5773502691896257,2.593333333333333,2.8533333333333335
10x800,10,800,3,30,3.605551275463989,21.666666666666668,2.516611478423583,2.3966666666666656,2.259999999999999
12x800,12,800,3,17.666666666666668,0.5773502691896257,21,1.7320508075688772,60.50333333333333,2.45666666666667
14x800,14,800,3,14,3.0,20.666666666666668,3.0550504633038935,88.08999999999999,2.629999999999999
16x800,16,800,3,14.666666666666666,3.2145502536643185,21.333333333333332,2.309401076758503,90.12333333333333,2.669999999999998
2x1000,2,1000,3,17.333333333333332,2.516611478423583,21.666666666666668,5.033222956847166,1.6866666666666659,2.4033333333333315
4x1000,4,1000,3,17.666666666666668,4.725815626252609,21,4.358898943540674,1.936666666666668,2.329999999999995
6x1000,6,1000,3,23.666666666666668,5.507570547286102,21.333333333333332,2.0816659994661326,2.426666666666666,2.2233333333333327
8x1000,8,1000,3,26,3.605551275463989,18.333333333333332,3.2145502536643185,2.6300000000000026,2.376666666666668
10x1000,10,1000,3,22.666666666666668,5.507570547286102,21.666666666666668,4.041451884327381,2.6400000000000015,2.379999999999997
12x1000,12,1000,3,14.333333333333334,2.0816659994661326,21,4.58257569495584,89.77,2.676666666666668
14x1000,14,1000,3,14.666666666666666,2.516611478423583,21.333333333333332,4.041451884327381,90.51333333333334,2.533333333333332
16x1000,16,1000,3,15.666666666666666,4.041451884327381,22,2.0,89.93333333333334,2.576666666666668
2x1200,2,1200,3,17,2.0,23,5.5677643628300215,1.6366666666666678,1.8666666666666683
4x1200,4,1200,3,16.333333333333332,3.2145502536643185,17.333333333333332,0.5773502691896257,1.9966666666666688,3.213333333333331
6x1200,6,1200,3,14.666666666666666,1.1547005383792515,23.333333333333332,5.8594652770823155,2.210000000000001,2.729999999999999
8x1200,8,1200,3,22.333333333333332,6.429100507328637,25.333333333333332,2.0816659994661326,2.563333333333332,2.6033333333333317
10x1200,10,1200,3,21.666666666666668,4.509249752822894,22.333333333333332,2.8867513459481287,31.840000000000003,2.369999999999998
12x1200,12,1200,3,16,3.605551275463989,24.333333333333332,5.131601439446884,90.13333333333333,2.373333333333335
14x1200,14,1200,3,16,3.605551275463989,19.333333333333332,4.041451884327381,89.49,3.520000000000001
16x1200,16,1200,3,16,3.605551275463989,26.666666666666668,1.1547005383792515,89.90666666666667,2.633333333333332
