epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,10.665000,10.230000,12.426667,11.850000,0.893350,0.897700,0.875733,0.881500
2,6.360000,6.650000,7.540000,7.380000,0.936400,0.933500,0.924600,0.926200
3,3.726667,4.280000,7.250000,7.180000,0.962733,0.957200,0.927500,0.928200
4,3.035000,3.480000,4.670000,5.090000,0.969650,0.965200,0.953300,0.949100
5,1.751667,2.740000,5.978333,6.700000,0.982483,0.972600,0.940217,0.933000
6,1.573333,2.610000,2.323333,3.130000,0.984267,0.973900,0.976767,0.968700
7,1.193333,2.340000,3.218333,4.120000,0.988067,0.976600,0.967817,0.958800
8,1.166667,2.500000,1.616667,2.670000,0.988333,0.975000,0.983833,0.973300
9,0.810000,2.160000,1.720000,3.040000,0.991900,0.978400,0.982800,0.969600
10,0.966667,2.430000,0.908333,2.040000,0.990333,0.975700,0.990917,0.979600
11,0.391667,2.000000,1.261667,2.540000,0.996083,0.980000,0.987383,0.974600
12,0.148333,1.860000,1.276667,2.930000,0.998517,0.981400,0.987233,0.970700
13,0.118333,1.790000,0.505000,1.760000,0.998817,0.982100,0.994950,0.982400
14,0.060000,1.710000,0.615000,2.260000,0.999400,0.982900,0.993850,0.977400
15,0.033333,1.700000,0.793333,2.610000,0.999667,0.983000,0.992067,0.973900
16,0.070000,1.710000,0.231667,1.920000,0.999300,0.982900,0.997683,0.980800
17,0.016667,1.800000,0.273333,2.010000,0.999833,0.982000,0.997267,0.979900
18,0.023333,1.720000,0.316667,2.160000,0.999767,0.982800,0.996833,0.978400
19,0.006667,1.760000,0.125000,1.870000,0.999933,0.982400,0.998750,0.981300
20,0.005000,1.610000,0.073333,1.760000,0.999950,0.983900,0.999267,0.982400
21,0.083333,1.690000,0.163333,1.840000,0.999167,0.983100,0.998367,0.981600
22,0.006667,1.490000,0.205000,1.940000,0.999933,0.985100,0.997950,0.980600
23,0.008333,1.600000,0.088333,1.830000,0.999917,0.984000,0.999117,0.981700
24,0.003333,1.590000,1.395000,3.160000,0.999967,0.984100,0.986050,0.968400
25,0.015000,1.510000,0.856667,3.030000,0.999850,0.984900,0.991433,0.969700
26,0.000000,1.590000,2.276667,3.590000,1.000000,0.984100,0.977233,0.964100
27,0.001667,1.540000,0.021667,1.780000,0.999983,0.984600,0.999783,0.982200
28,0.000000,1.590000,0.028333,1.730000,1.000000,0.984100,0.999717,0.982700
29,0.000000,1.580000,0.006667,1.860000,1.000000,0.984200,0.999933,0.981400
30,0.000000,1.560000,0.090000,2.070000,1.000000,0.984400,0.999100,0.979300
31,0.000000,1.600000,0.050000,1.770000,1.000000,0.984000,0.999500,0.982300
32,0.000000,1.470000,0.081667,1.980000,1.000000,0.985300,0.999183,0.980200
33,0.001667,1.530000,0.006667,1.870000,0.999983,0.984700,0.999933,0.981300
34,0.000000,1.560000,0.110000,1.970000,1.000000,0.984400,0.998900,0.980300
35,0.001667,1.430000,0.226667,2.110000,0.999983,0.985700,0.997733,0.978900
36,0.000000,1.410000,0.100000,2.070000,1.000000,0.985900,0.999000,0.979300
37,0.015000,1.590000,0.006667,1.720000,0.999850,0.984100,0.999933,0.982800
38,0.000000,1.520000,0.030000,1.760000,1.000000,0.984800,0.999700,0.982400
39,0.000000,1.520000,0.001667,1.630000,1.000000,0.984800,0.999983,0.983700
40,0.000000,1.480000,0.020000,1.730000,1.000000,0.985200,0.999800,0.982700
41,0.000000,1.480000,0.005000,1.860000,1.000000,0.985200,0.999950,0.981400
42,0.000000,1.540000,0.001667,1.740000,1.000000,0.984600,0.999983,0.982600
43,0.000000,1.480000,0.161667,2.350000,1.000000,0.985200,0.998383,0.976500
44,0.000000,1.500000,0.113333,2.250000,1.000000,0.985000,0.998867,0.977500
45,0.013333,1.660000,0.006667,1.710000,0.999867,0.983400,0.999933,0.982900
46,0.000000,1.460000,0.005000,1.790000,1.000000,0.985400,0.999950,0.982100
47,0.000000,1.490000,0.021667,1.860000,1.000000,0.985100,0.999783,0.981400
48,0.000000,1.490000,0.005000,1.730000,1.000000,0.985100,0.999950,0.982700
49,0.003333,1.550000,0.006667,1.830000,0.999967,0.984500,0.999933,0.981700
50,0.000000,1.540000,0.001667,1.700000,1.000000,0.984600,0.999983,0.983000
51,0.000000,1.420000,0.000000,1.720000,1.000000,0.985800,1.000000,0.982800
52,0.000000,1.510000,0.003333,1.700000,1.000000,0.984900,0.999967,0.983000
53,0.000000,1.540000,0.013333,1.870000,1.000000,0.984600,0.999867,0.981300
54,0.000000,1.580000,0.001667,1.690000,1.000000,0.984200,0.999983,0.983100
55,0.000000,1.520000,0.000000,1.660000,1.000000,0.984800,1.000000,0.983400
56,0.000000,1.430000,0.000000,1.750000,1.000000,0.985700,1.000000,0.982500
57,0.000000,1.450000,0.001667,1.850000,1.000000,0.985500,0.999983,0.981500
58,0.000000,1.530000,0.001667,1.930000,1.000000,0.984700,0.999983,0.980700
59,0.000000,1.540000,0.375000,2.410000,1.000000,0.984600,0.996250,0.975900
60,0.000000,1.470000,0.000000,1.820000,1.000000,0.985300,1.000000,0.981800
